Title,Years,RunTime,Genre,Rating,R,Votes,Gross
Back to the Future,1985,116,Sci-Fi,8.5,PG,"1,034,790",$210.61M
Back to the Future,1985,116,Comedy,8.5,PG,"1,034,790",$210.61M
Back to the Future,1985,116,Adventure,8.5,PG,"1,034,790",$210.61M
The Pianist,2002,150,Music,8.5,R,"712,868",$32.57M
The Pianist,2002,150,Drama,8.5,R,"712,868",$32.57M
The Pianist,2002,150,Biography,8.5,R,"712,868",$32.57M
Modern Times,1936,87,Family,8.5,G,"212,987",$0.16M
Modern Times,1936,87,Drama,8.5,G,"212,987",$0.16M
Modern Times,1936,87,Comedy,8.5,G,"212,987",$0.16M
Terminator 2: Judgment Day,1991,137,Sci-Fi,8.5,R,"979,977",$204.84M
Terminator 2: Judgment Day,1991,137,Action,8.5,R,"979,977",$204.84M
The Intouchables,2011,112,Drama,8.5,R,"741,497",$13.18M
The Intouchables,2011,112,Comedy,8.5,R,"741,497",$13.18M
The Intouchables,2011,112,Biography,8.5,R,"741,497",$13.18M
Psycho,1960,109,Thriller,8.5,R,"591,400",$32.00M
Psycho,1960,109,Mystery,8.5,R,"591,400",$32.00M
Psycho,1960,109,Horror,8.5,R,"591,400",$32.00M
Gladiator,2000,155,Drama,8.5,R,"1,315,689",$187.71M
Gladiator,2000,155,Adventure,8.5,R,"1,315,689",$187.71M
Gladiator,2000,155,Action,8.5,R,"1,315,689",$187.71M
City Lights,1931,87,Romance,8.5,G,"164,093",$0.02M
City Lights,1931,87,Drama,8.5,G,"164,093",$0.02M
City Lights,1931,87,Comedy,8.5,G,"164,093",$0.02M
The Departed,2006,151,Thriller,8.5,R,"1,166,446",$132.38M
The Departed,2006,151,Drama,8.5,R,"1,166,446",$132.38M
The Departed,2006,151,Crime,8.5,R,"1,166,446",$132.38M
Whiplash,2014,106,Music,8.5,R,"696,571",$13.09M
Whiplash,2014,106,Drama,8.5,R,"696,571",$13.09M
Once Upon a Time in the West,1968,165,Western,8.5,PG-13,"297,404",$5.32M
The Prestige,2006,130,Sci-Fi,8.5,PG-13,"1,163,945",$53.09M
The Prestige,2006,130,Mystery,8.5,PG-13,"1,163,945",$53.09M
The Prestige,2006,130,Drama,8.5,PG-13,"1,163,945",$53.09M
Avengers: Endgame,2019,181,Drama,8.4,PG-13,"770,403",$858.37M
Avengers: Endgame,2019,181,Adventure,8.4,PG-13,"770,403",$858.37M
Avengers: Endgame,2019,181,Action,8.4,PG-13,"770,403",$858.37M
Casablanca,1942,102,War,8.5,PG,"513,061",$1.02M
Casablanca,1942,102,Romance,8.5,PG,"513,061",$1.02M
Casablanca,1942,102,Drama,8.5,PG,"513,061",$1.02M
Grave of the Fireflies,1988,89,War,8.5,Not Rated,"227,959",
Grave of the Fireflies,1988,89,Drama,8.5,Not Rated,"227,959",
Grave of the Fireflies,1988,89,Animation,8.5,Not Rated,"227,959",
Rear Window,1954,112,Thriller,8.4,PG,"435,422",$36.76M
Rear Window,1954,112,Mystery,8.4,PG,"435,422",$36.76M
Cinema Paradiso,1988,155,Drama,8.5,R,"225,010",$11.99M
Alien,1979,117,Horror,8.4,R,"773,538",$78.90M
Alien,1979,117,Sci-Fi,8.4,R,"773,538",$78.90M
Raiders of the Lost Ark,1981,115,Action,8.4,PG,"869,749",$248.16M
Raiders of the Lost Ark,1981,115,Adventure,8.4,PG,"869,749",$248.16M
Memento,2000,113,Thriller,8.4,R,"1,106,159",$25.54M
Memento,2000,113,Mystery,8.4,R,"1,106,159",$25.54M
Apocalypse Now,1979,147,War,8.4,R,"594,732",$83.47M
Apocalypse Now,1979,147,Mystery,8.4,R,"594,732",$83.47M
Apocalypse Now,1979,147,Drama,8.4,R,"594,732",$83.47M
The Great Dictator,1940,125,War,8.4,Passed,"198,906",$0.29M
The Great Dictator,1940,125,Drama,8.4,Passed,"198,906",$0.29M
The Great Dictator,1940,125,Comedy,8.4,Passed,"198,906",$0.29M
The Lives of Others,2006,137,"Drama,  Mystery,  Thriller",8.4,R,"351,864",$11.29M
The Lives of Others,2006,137,Thriller,8.4,R,"351,864",$11.29M
The Lives of Others,2006,137,Mystery,8.4,R,"351,864",$11.29M
Avengers: Infinity War,2018,149,Action,8.4,PG-13,"805,438",$678.82M
Django Unchained,2012,165,Western,8.4,R,"1,326,937",$162.81M
Django Unchained,2012,165,Drama,8.4,R,"1,326,937",$162.81M
Spider-Man: Into the Spider-Verse,2018,117,Adventure,8.4,PG,"343,132",$190.24M
Spider-Man: Into the Spider-Verse,2018,117,Action,8.4,PG,"343,132",$190.24M
The Shining,1980,146,Drama,8.4,R,"876,128",$44.02M
The Shining,1980,146,Horror,8.4,R,"876,128",$44.02M
Paths of Glory,1957,88,War,8.4,Approved,"174,158",
Paths of Glory,1957,88,Drama,8.4,Approved,"174,158",
WALL·E,2008,98,Family,8.4,G,"980,203",$223.81M
WALL·E,2008,98,Adventure,8.4,G,"980,203",$223.81M
WALL·E,2008,98,Animation,8.4,G,"980,203",$223.81M
Sunset Blvd.,1950,110,Film-Noir,8.4,Passed,"197,468",
Sunset Blvd.,1950,110,Drama,8.4,Passed,"197,468",
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedy,8.4,PG,"443,435",$0.28M
Princess Mononoke,1997,134,Fantasy,8.4,PG-13,"334,055",$2.38M
Princess Mononoke,1997,134,Adventure,8.4,PG-13,"334,055",$2.38M
Princess Mononoke,1997,134,Animation,8.4,PG-13,"334,055",$2.38M
Oldboy,2003,120,Mystery,8.4,R,"504,427",$0.71M
