Title,Years,Genre,Rating,R
The Little Prince,2016,Adventure,9.3,PG
The Little Prince,2016,Animation,9.3,PG
The Little Prince,2016,Fantasy,9.3,PG
CAM,2018,Mystery,9.3,Unknow
CAM,2018,Thriller,9.3,Unknow
CAM,2018,Horror,9.3,Unknow
I'll See You in My Dreams,2015,Drama,9.3,PG-13
I'll See You in My Dreams,2015,Comedy,9.3,PG-13
I'll See You in My Dreams,2015,Romance,9.3,PG-13
Boy and the World (O Menino e o Mundo),2015,Adventure,9.3,PG
Boy and the World (O Menino e o Mundo),2015,Animation,9.3,PG
Boy and the World (O Menino e o Mundo),2015,Kids,9.3,PG
Boy and the World (O Menino e o Mundo),2015,Family,9.3,PG
Glory,1989,Drama,9.3,R
Glory,1989,War,9.3,R
Glory,1989,History,9.3,R
Sand Storm (Sufat Chol),2016,Drama,9.3,Unknow
Hush,2016,Mystery,9.3,R
Hush,2016,Thriller,9.3,R
Hush,2016,Horror,9.3,R
WarGames (War Games),1983,Mystery,9.3,PG
WarGames (War Games),1983,Thriller,9.3,PG
WarGames (War Games),1983,Drama,9.3,PG
WarGames (War Games),1983,Action,9.3,PG
Uncut Gems,2019,Mystery,9.2,R
Uncut Gems,2019,Thriller,9.2,R
Uncut Gems,2019,Comedy,9.2,R
Da 5 Bloods,2020,Drama,9.2,R
Da 5 Bloods,2020,War,9.2,R
Drive,2011,Action,9.2,R
Drive,2011,Drama,9.2,R
Drive,2011,Crime,9.2,R
Silver Linings Playbook,2012,Drama,9.2,R
Silver Linings Playbook,2012,Comedy,9.2,R
Silver Linings Playbook,2012,Romance,9.2,R
Good Time,2017,Mystery,9.2,R
Good Time,2017,Thriller,9.2,R
Good Time,2017,Drama,9.2,R
Good Time,2017,Crime,9.2,R
There Will Be Blood,2007,Drama,9.2,R
The Meyerowitz Stories (New and Selected),2017,Comedy,9.2,Unknow
The Squid and the Whale,2005,Drama,9.2,R
Y Tu Mama Tambien,2001,Drama,9.2,Unknow
Y Tu Mama Tambien,2001,Comedy,9.2,Unknow
High Flying Bird,2019,Drama,9.2,Unknow
The Endless,2018,Mystery,9.2,Unknow
The Endless,2018,Thriller,9.2,Unknow
The Endless,2018,Horror,9.2,Unknow
The Endless,2018,Sci-Fi,9.2,Unknow
We the Animals,2018,Drama,9.2,R
Fyre,2019,Documentary,9.2,Unknow
Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese,2019,Music,9.2,Unknow
Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese,2019,Documentary,9.2,Unknow
West Side Story,1961,Musical,9.2,Unknow
Set It Up,2018,Romance,9.2,Unknow
Into the Inferno,2016,Documentary,9.2,Unknow
Mindhorn,2016,Comedy,9.2,Unknow
The Disaster Artist,2017,Drama,9.1,R
The Disaster Artist,2017,Comedy,9.1,R
A Ghost Story,2017,Drama,9.1,R
A Ghost Story,2017,Fantasy,9.1,R
A Ghost Story,2017,Romance,9.1,R
Green Room,2016,Mystery,9.1,R
Green Room,2016,Thriller,9.1,R
Green Room,2016,Horror,9.1,R
The Gift,2015,Mystery,9.1,R
The Gift,2015,Thriller,9.1,R
Beasts of No Nation,2015,Drama,9.1,Unknow
Beasts of No Nation,2015,War,9.1,Unknow
The Sapphires,2013,Musical,9.1,PG-13
The Sapphires,2013,Comedy,9.1,PG-13
